SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
5,1,28.0,-1097850,10,9
6,5,37.0,-1097850,10,9
7,1,46.0,-1097850,10,9
8,1,77.0,-1097850,10,9
9,5,120.0,-1097850,10,9
10,5,149.0,-1097850,10,9
11,4,149.0,400,10,9
12,8,152.0,400,10,9
13,5,153.0,400,10,9
14,4,154.0,-445950,10,9
15,5,159.0,-445950,10,9
16,7,162.0,-445950,10,9
17,13,195.0,-445950,10,9
18,9,196.0,-445950,10,9
19,2,224.0,-445950,10,9
0,10,224.0,-445950,10,9
1,11,0.0,-445950,9,9
2,6,18.0,-445950,9,9
3,4,23.0,-1250150,9,9
4,5,30.000000000000004,-1250150,9,9
5,5,43.0,-1250150,9,9
6,5,51.0,-1250150,9,9
7,5,104.0,-1250150,9,9
8,4,138.0,150,9,9
9,5,142.0,150,9,9
10,4,143.0,-420200,9,9
11,5,145.0,-420200,9,9
12,8,147.0,-420200,9,9
13,4,147.0,-460300,9,9
14,5,152.0,-460300,9,9
15,13,153.0,-460300,9,9
16,7,153.0,-460300,9,9
17,9,154.0,-460300,9,9
18,2,172.0,-460300,9,9
0,10,172.0,-460300,9,9
1,11,0.0,-460300,9,7
2,6,6.0,-460300,9,7
3,4,12.0,-1233050,9,7
4,5,19.0,-1233050,9,7
5,5,31.000000000000004,-1233050,9,7
6,5,40.0,-1233050,9,7
7,1,49.0,-1233050,9,7
8,1,83.0,-1233050,9,7
9,5,163.0,-1233050,9,7
10,1,166.0,-1233050,9,7
11,4,214.0,150,9,7
12,5,220.0,150,9,7
13,7,228.0,150,9,7
14,13,246.00000000000003,150,9,7
15,9,247.00000000000003,150,9,7
16,2,268.0,150,9,7
0,10,268.0,150,9,7
1,11,0.0,150,7,1
2,6,10.0,150,7,1
3,4,15.000000000000002,-1040000,7,1
4,5,21.0,-1040000,7,1
5,5,26.0,-1040000,7,1
6,5,35.0,-1040000,7,1
7,1,68.0,-1040000,7,1
8,5,139.0,-1040000,7,1
9,1,257.0,-1040000,7,1
10,1,258.0,-1040000,7,1
11,1,259.0,-1040000,7,1
12,4,280.0,150,7,1
13,5,282.0,150,7,1
14,4,288.0,-134250,7,1
15,5,295.0,-134250,7,1
16,7,297.0,-134250,7,1
17,13,309.0,-134250,7,1
18,9,310.0,-134250,7,1
19,4,315.0,-1415200,7,1
20,5,317.0,-1415200,7,1
0,10,333.0,-1415200,7,1
1,11,0.0,-1415200,1,7
2,6,29.000000000000004,-1415200,1,7
3,4,33.0,-1454100,1,7
4,5,42.0,-1454100,1,7
5,1,48.0,-1454100,1,7
6,5,51.0,-1454100,1,7
7,5,65.0,-1454100,1,7
8,4,909.0,400,1,7
9,5,910.0,400,1,7
10,5,921.0,400,1,7
11,4,921.0,-3650,1,7
12,5,922.0,-3650,1,7
13,13,949.0,-3650,1,7
14,9,949.0,-3650,1,7
15,1,954.0,-3650,1,7
16,4,964.0,250,1,7
17,5,970.0,250,1,7
18,6,988.0,250,1,7
19,6,989.0,250,1,7
20,7,990.0,250,1,7
21,2,999.0,250,1,7
0,10,999.0,250,1,7
1,11,0.0,250,7,10
2,6,79.0,250,7,10
3,4,84.0,-1039950,7,10
4,5,91.0,-1039950,7,10
5,5,105.0,-1039950,7,10
6,1,117.0,-1039950,7,10
7,1,150.0,-1039950,7,10
8,1,155.0,-1039950,7,10
9,4,167.0,450,7,10
10,5,168.0,450,7,10
11,5,177.0,450,7,10
12,1,183.0,450,7,10
13,4,186.0,50,7,10
14,5,188.0,50,7,10
15,4,189.0,-18650,7,10
16,5,191.0,-18650,7,10
17,4,192.0,-59850,7,10
18,5,194.0,-59850,7,10
19,4,194.0,-79650,7,10
20,5,201.0,-79650,7,10
21,4,202.0,-990100,7,10
22,5,204.0,-990100,7,10
23,8,205.0,-990100,7,10
24,4,205.0,-1022600,7,10
25,5,210.0,-1022600,7,10
26,7,212.0,-1022600,7,10
27,13,254.00000000000003,-1022600,7,10
28,9,254.00000000000003,-1022600,7,10
29,2,301.0,-1022600,7,10
0,10,301.0,-1022600,7,10
1,11,0.0,-1022600,10,7
2,6,2.0,-1022600,10,7
3,4,11.0,-1864050,10,7
4,5,22.0,-1864050,10,7
5,1,27.0,-1864050,10,7
6,5,38.0,-1864050,10,7
7,5,133.0,-1864050,10,7
8,1,166.0,-1864050,10,7
9,4,172.0,250,10,7
10,5,179.0,250,10,7
11,7,200.0,250,10,7
12,13,213.0,250,10,7
13,9,214.0,250,10,7
0,10,229.00000000000003,250,10,7
1,11,0.0,250,7,7
2,6,22.0,250,7,7
3,4,25.0,-1040350,7,7
4,5,32.0,-1040350,7,7
5,5,39.0,-1040350,7,7
6,4,112.0,600,7,7
7,5,114.0,600,7,7
8,5,122.0,600,7,7
9,4,122.0,-1800,7,7
10,1,146.0,-1800,7,7
11,4,152.0,200,7,7
12,5,158.0,200,7,7
13,7,171.0,200,7,7
14,13,192.0,200,7,7
15,9,192.0,200,7,7
16,2,213.0,200,7,7
0,10,213.0,200,7,7
1,11,0.0,200,7,7
2,6,4.0,200,7,7
3,4,9.0,-1040000,7,7
4,5,16.0,-1040000,7,7
5,5,28.0,-1040000,7,7
6,4,105.0,250,7,7
7,5,107.0,250,7,7
8,5,114.0,250,7,7
9,4,114.0,-750,7,7
10,5,115.0,-750,7,7
11,1,135.0,-750,7,7
12,4,160.0,-50,7,7
13,5,166.0,-50,7,7
14,7,167.0,-50,7,7
15,13,182.0,-50,7,7
16,9,183.0,-50,7,7
0,10,224.0,-50,7,7
1,11,0.0,-50,7,7
2,6,22.0,-50,7,7
3,4,27.0,-1039950,7,7
4,5,33.0,-1039950,7,7
5,5,44.0,-1039950,7,7
6,4,1451.0,1500,7,7
7,5,1452.0,1500,7,7
8,5,1461.0,1500,7,7
9,4,1461.0,-2850,7,7
10,5,1462.0,-2850,7,7
11,1,1482.0,-2850,7,7
12,4,1499.0,100,7,7
13,7,1506.0,100,7,7
14,5,1506.0,100,7,7
15,13,1512.0,100,7,7
16,9,1513.0,100,7,7
17,2,1531.0,100,7,7
0,10,1531.0,100,7,7
1,11,0.0,100,7,6
2,6,10.0,100,7,6
3,4,16.0,-1040050,7,6
4,5,22.0,-1040050,7,6
5,5,34.0,-1040050,7,6
6,1,82.0,-1040050,7,6
7,4,155.0,1400,7,6
8,5,157.0,1400,7,6
9,5,167.0,1400,7,6
10,1,187.0,1400,7,6
11,4,215.0,0,7,6
12,7,222.0,0,7,6
13,5,224.0,0,7,6
14,13,263.0,0,7,6
15,9,263.0,0,7,6
16,2,280.0,0,7,6
0,10,280.0,0,7,6
1,11,0.0,0,6,6
2,6,12.0,0,6,6
3,4,17.0,-1495050,6,6
4,5,26.0,-1495050,6,6
5,5,32.0,-1495050,6,6
6,5,37.0,-1495050,6,6
7,4,89.0,500,6,6
8,5,90.0,500,6,6
9,5,100.0,500,6,6
10,4,100.0,-650,6,6
11,5,101.0,-650,6,6
12,1,109.0,-650,6,6
13,4,126.0,150,6,6
14,7,133.0,150,6,6
15,5,135.0,150,6,6
16,13,164.0,150,6,6
17,9,164.0,150,6,6
0,10,179.0,150,6,6
1,11,0.0,150,6,6
2,6,24.0,150,6,6
3,4,29.000000000000004,-1495050,6,6
4,5,37.0,-1495050,6,6
5,5,41.0,-1495050,6,6
6,5,47.0,-1495050,6,6
7,13,92.0,-1495050,6,6
8,9,93.0,-1495050,6,6
9,4,124.0,350,6,6
10,5,126.0,350,6,6
11,5,134.0,350,6,6
12,1,139.0,350,6,6
13,4,158.0,-100,6,6
14,7,166.0,-100,6,6
15,5,167.0,-100,6,6
0,10,186.0,-100,6,6
1,11,0.0,-100,6,6
