date,day_of_week,day_of_year,num_sessions,session_start_times,machine_id
2024-04-16,1,107,53,"[28997, 29702, 31171, 32763, 34176, 35482, 36171, 37377, 38099, 38896, 39629, 40342, 41651, 42347, 43606, 44553, 45166, 45813, 46475, 47395, 48302, 49644, 50521, 51374, 51834, 52898, 53753, 55189, 56131, 56827, 57483, 57972, 59795, 60463, 61053, 61569, 62441, 63251, 63893, 64542, 65433, 66289, 66981, 67646, 68907, 69591, 70344, 71152, 71800, 73067, 74726, 75446, 76412]",194220
2024-04-17,2,108,42,"[28782, 31337, 32151, 32819, 33842, 35115, 35784, 36379, 37148, 37979, 38922, 39546, 40248, 40927, 42125, 43020, 43777, 44448, 45765, 46406, 47543, 48891, 49737, 50362, 51406, 52597, 53807, 54542, 55209, 55901, 57918, 58556, 59372, 60165, 62262, 63006, 63665, 64287, 65146, 66465, 67644, 70716]",194220
2024-04-18,3,109,50,"[29134, 29961, 30915, 31922, 32588, 33500, 34183, 35124, 35942, 36749, 37399, 38301, 38957, 41499, 42106, 42844, 43523, 44163, 45270, 46029, 46799, 47999, 48674, 50813, 51754, 52327, 52951, 54973, 56098, 57083, 58839, 59491, 60043, 61407, 62308, 63041, 63845, 64507, 65356, 66700, 68202, 68889, 69425, 70539, 71178, 71952, 73077, 73717, 74500, 75122]",194220
2024-04-16,1,107,46,"[27523, 28102, 28803, 29436, 30437, 31295, 32114, 33095, 34000, 35111, 36051, 36974, 37919, 38897, 39788, 40847, 41782, 43081, 43674, 44556, 45287, 46492, 47261, 47813, 48503, 49149, 49869, 50828, 51750, 52431, 53755, 54868, 56241, 56883, 57725, 58957, 59639, 60250, 61042, 62247, 62871, 63283, 63729, 64273, 64731, 65326]",196296
2024-04-17,2,108,47,"[27715, 28398, 28928, 29575, 30030, 30481, 31115, 31964, 32986, 33626, 34459, 35775, 37039, 38234, 39357, 40558, 41295, 41947, 43009, 43822, 44503, 45277, 45835, 46473, 47263, 47964, 48638, 49214, 49790, 50564, 51568, 52147, 52872, 53589, 54765, 55601, 57144, 58105, 58894, 59920, 60783, 62102, 62971, 63579, 64137, 64615, 65183]",196296
2024-04-18,3,109,47,"[27853, 28468, 29087, 29415, 29966, 30457, 30952, 32384, 32691, 33405, 34251, 35236, 36002, 37267, 38367, 39909, 41369, 42493, 43248, 43965, 44683, 45260, 45920, 46469, 47071, 48070, 48755, 49384, 50002, 50631, 51310, 52132, 52761, 53627, 54819, 55983, 57484, 58972, 59610, 60212, 61054, 61704, 62372, 62905, 63501, 63987, 64541]",196296
2024-04-16,1,107,31,"[29856, 30520, 31008, 31768, 32351, 33124, 33369, 34240, 34781, 35620, 36216, 36507, 37005, 37566, 38111, 38464, 38833, 39602, 40091, 40606, 41127, 41396, 41729, 42320, 58081, 60328, 61397, 61959, 64885, 71490, 73104]",196642
2024-04-17,2,108,44,"[29786, 30261, 30796, 31242, 31820, 32383, 32867, 33373, 34129, 34485, 34872, 35452, 36176, 37338, 37953, 39029, 39519, 40045, 40396, 40745, 41381, 42077, 42426, 42885, 43738, 44045, 50638, 51122, 51420, 51869, 52181, 53016, 54161, 54559, 55129, 56139, 56658, 57292, 57622, 58175, 58722, 59063, 60745, 61717]",196642
2024-04-18,3,109,36,"[24413, 29539, 30422, 31150, 31489, 31930, 32387, 32913, 33702, 34117, 34936, 35813, 36081, 36923, 37433, 37850, 38625, 39090, 39852, 40420, 41019, 51303, 51659, 52188, 52465, 52902, 53411, 53966, 54682, 55941, 57129, 58303, 61537, 68010, 72547, 72983]",196642
2024-04-16,1,107,62,"[37079, 38270, 38891, 39543, 40714, 41385, 42222, 43858, 45091, 48153, 48783, 49503, 50636, 51349, 51961, 52615, 53236, 53809, 54253, 54787, 55375, 56114, 56536, 57108, 57598, 58028, 59170, 59712, 60338, 60931, 62178, 62820, 63429, 63987, 66344, 67023, 67955, 68428, 69561, 70448, 71728, 72583, 73457, 74078, 74817, 75763, 76247, 76774, 77500, 77962, 78915, 79362, 79774, 80194, 80601, 81053, 81689, 82523, 82938, 83789, 85009, 85487]",214769
2024-04-17,2,108,50,"[36084, 36896, 38043, 38581, 39075, 39678, 40185, 41164, 41587, 42606, 43118, 44592, 45320, 46103, 47346, 49446, 49976, 50652, 51648, 52165, 52855, 53382, 53959, 54536, 55181, 55617, 56262, 56918, 57897, 59082, 59607, 60739, 61873, 62434, 62844, 64154, 65273, 66535, 67314, 68352, 69141, 69878, 70768, 71530, 72255, 73082, 73574, 74870, 75885, 77574]",214769
