SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to,Position_encoded,Direction_encoded,true_total_time
17,5,24.0,-1041900,3,3,0,0,216.0
17,1,25.0,-1041900,3,3,0,0,216.0
17,5,43.0,-1041900,3,3,0,0,216.0
17,1,46.0,-1041900,3,3,0,0,216.0
17,4,94.0,350,3,3,0,0,216.0
17,5,96.0,350,3,3,0,0,216.0
17,5,105.0,350,3,3,0,0,216.0
17,1,158.0,350,3,3,0,0,216.0
17,4,176.0,-150,3,3,0,0,216.0
17,5,183.0,-150,3,3,0,0,216.0
17,7,191.0,-150,3,3,0,0,216.0
17,15,200.0,-150,3,3,0,0,216.0
17,9,201.0,-150,3,3,0,0,216.0
17,10,216.0,-150,3,3,0,0,216.0
18,11,0.0,-150,3,10,0,0,296.0
18,6,11.0,-150,3,10,0,0,296.0
18,4,20.0,-1036900,3,10,0,0,296.0
18,5,27.0,-1036900,3,10,0,0,296.0
18,1,37.0,-1036900,3,10,0,0,296.0
18,5,38.0,-1036900,3,10,0,0,296.0
18,5,60.00000000000001,-1036900,3,10,0,0,296.0
18,4,112.0,300,3,10,0,0,296.0
18,5,114.0,300,3,10,0,0,296.0
18,5,127.0,300,3,10,0,0,296.0
18,1,230.00000000000003,300,3,10,0,0,296.0
18,4,233.00000000000003,150,3,10,0,0,296.0
18,5,240.00000000000003,150,3,10,0,0,296.0
18,7,246.00000000000003,150,3,10,0,0,296.0
18,15,281.0,150,3,10,0,0,296.0
18,9,281.0,150,3,10,0,0,296.0
18,2,296.0,150,3,10,0,0,296.0
18,10,296.0,150,3,10,0,0,296.0
19,11,0.0,150,10,3,0,0,176.0
19,6,4.0,150,10,3,0,0,176.0
19,4,63.00000000000001,-1036900,10,3,0,0,176.0
19,5,70.0,-1036900,10,3,0,0,176.0
19,1,71.0,-1036900,10,3,0,0,176.0
19,5,78.0,-1036900,10,3,0,0,176.0
19,5,86.0,-1036900,10,3,0,0,176.0
19,4,112.0,400,10,3,0,0,176.0
19,5,113.0,400,10,3,0,0,176.0
19,5,122.0,400,10,3,0,0,176.0
19,1,138.0,400,10,3,0,0,176.0
19,4,141.0,150,10,3,0,0,176.0
19,5,147.0,150,10,3,0,0,176.0
19,7,148.0,150,10,3,0,0,176.0
19,15,159.0,150,10,3,0,0,176.0
19,9,160.0,150,10,3,0,0,176.0
19,2,176.0,150,10,3,0,0,176.0
19,10,176.0,150,10,3,0,0,176.0
20,11,0.0,150,3,10,0,0,160.0
20,6,4.0,150,3,10,0,0,160.0
20,4,14.0,-1005850,3,10,0,0,160.0
20,5,21.0,-1005850,3,10,0,0,160.0
20,1,22.0,-1005850,3,10,0,0,160.0
20,5,31.000000000000004,-1005850,3,10,0,0,160.0
20,5,39.0,-1005850,3,10,0,0,160.0
20,5,46.0,-1005850,3,10,0,0,160.0
20,4,84.0,350,3,10,0,0,160.0
20,5,85.0,350,3,10,0,0,160.0
20,5,96.0,350,3,10,0,0,160.0
20,4,97.0,-2500,3,10,0,0,160.0
20,5,97.0,-2500,3,10,0,0,160.0
20,1,123.0,-2500,3,10,0,0,160.0
20,4,126.0,150,3,10,0,0,160.0
20,5,133.0,150,3,10,0,0,160.0
20,7,134.0,150,3,10,0,0,160.0
20,15,144.0,150,3,10,0,0,160.0
20,9,144.0,150,3,10,0,0,160.0
20,2,160.0,150,3,10,0,0,160.0
20,10,160.0,150,3,10,0,0,160.0
21,11,0.0,150,10,9,0,0,224.0
21,6,15.000000000000002,150,10,9,0,0,224.0
21,4,19.0,-1097850,10,9,0,0,224.0
21,5,26.0,-1097850,10,9,0,0,224.0
21,1,28.0,-1097850,10,9,0,0,224.0
21,5,37.0,-1097850,10,9,0,0,224.0
21,1,46.0,-1097850,10,9,0,0,224.0
21,1,77.0,-1097850,10,9,0,0,224.0
21,5,120.0,-1097850,10,9,0,0,224.0
21,5,149.0,-1097850,10,9,0,0,224.0
21,4,149.0,400,10,9,0,0,224.0
21,8,152.0,400,10,9,0,0,224.0
21,5,153.0,400,10,9,0,0,224.0
21,4,154.0,-445950,10,9,0,0,224.0
21,5,159.0,-445950,10,9,0,0,224.0
21,7,162.0,-445950,10,9,0,0,224.0
21,15,195.0,-445950,10,9,0,0,224.0
21,9,196.0,-445950,10,9,0,0,224.0
21,2,224.0,-445950,10,9,0,0,224.0
21,10,224.0,-445950,10,9,0,0,224.0
22,11,0.0,-445950,9,9,0,0,172.0
22,6,18.0,-445950,9,9,0,0,172.0
22,4,23.0,-1250150,9,9,0,0,172.0
22,5,30.000000000000004,-1250150,9,9,0,0,172.0
22,5,43.0,-1250150,9,9,0,0,172.0
22,5,51.0,-1250150,9,9,0,0,172.0
22,5,104.0,-1250150,9,9,0,0,172.0
22,4,138.0,150,9,9,0,0,172.0
22,5,142.0,150,9,9,0,0,172.0
22,4,143.0,-420200,9,9,0,0,172.0
22,5,145.0,-420200,9,9,0,0,172.0
22,8,147.0,-420200,9,9,0,0,172.0
22,4,147.0,-460300,9,9,0,0,172.0
22,5,152.0,-460300,9,9,0,0,172.0
22,15,153.0,-460300,9,9,0,0,172.0
22,7,153.0,-460300,9,9,0,0,172.0
22,9,154.0,-460300,9,9,0,0,172.0
22,2,172.0,-460300,9,9,0,0,172.0
22,10,172.0,-460300,9,9,0,0,172.0
23,11,0.0,-460300,9,7,0,0,268.0
23,6,6.0,-460300,9,7,0,0,268.0
23,4,12.0,-1233050,9,7,0,0,268.0
23,5,19.0,-1233050,9,7,0,0,268.0
23,5,31.000000000000004,-1233050,9,7,0,0,268.0
23,5,40.0,-1233050,9,7,0,0,268.0
23,1,49.0,-1233050,9,7,0,0,268.0
23,1,83.0,-1233050,9,7,0,0,268.0
23,5,163.0,-1233050,9,7,0,0,268.0
23,1,166.0,-1233050,9,7,0,0,268.0
23,4,214.0,150,9,7,0,0,268.0
23,5,220.0,150,9,7,0,0,268.0
23,7,228.0,150,9,7,0,0,268.0
23,15,246.00000000000003,150,9,7,0,0,268.0
23,9,247.00000000000003,150,9,7,0,0,268.0
23,2,268.0,150,9,7,0,0,268.0
23,10,268.0,150,9,7,0,0,268.0
24,11,0.0,150,7,1,0,0,333.0
24,6,10.0,150,7,1,0,0,333.0
24,4,15.000000000000002,-1040000,7,1,0,0,333.0
24,5,21.0,-1040000,7,1,0,0,333.0
24,5,26.0,-1040000,7,1,0,0,333.0
24,5,35.0,-1040000,7,1,0,0,333.0
24,1,68.0,-1040000,7,1,0,0,333.0
24,5,139.0,-1040000,7,1,0,0,333.0
24,1,257.0,-1040000,7,1,0,0,333.0
24,1,258.0,-1040000,7,1,0,0,333.0
24,1,259.0,-1040000,7,1,0,0,333.0
24,4,280.0,150,7,1,0,0,333.0
24,5,282.0,150,7,1,0,0,333.0
24,4,288.0,-134250,7,1,0,0,333.0
24,5,295.0,-134250,7,1,0,0,333.0
24,7,297.0,-134250,7,1,0,0,333.0
24,15,309.0,-134250,7,1,0,0,333.0
24,9,310.0,-134250,7,1,0,0,333.0
24,4,315.0,-1415200,7,1,0,0,333.0
24,5,317.0,-1415200,7,1,0,0,333.0
24,10,333.0,-1415200,7,1,0,0,333.0
25,11,0.0,-1415200,1,7,0,0,999.0
25,6,29.000000000000004,-1415200,1,7,0,0,999.0
25,4,33.0,-1454100,1,7,0,0,999.0
25,5,42.0,-1454100,1,7,0,0,999.0
25,1,48.0,-1454100,1,7,0,0,999.0
25,5,51.0,-1454100,1,7,0,0,999.0
25,5,65.0,-1454100,1,7,0,0,999.0
25,4,909.0,400,1,7,0,0,999.0
25,5,910.0,400,1,7,0,0,999.0
25,5,921.0,400,1,7,0,0,999.0
25,4,921.0,-3650,1,7,0,0,999.0
25,5,922.0,-3650,1,7,0,0,999.0
25,15,949.0,-3650,1,7,0,0,999.0
25,9,949.0,-3650,1,7,0,0,999.0
25,1,954.0,-3650,1,7,0,0,999.0
25,4,964.0,250,1,7,0,0,999.0
25,5,970.0,250,1,7,0,0,999.0
25,6,988.0,250,1,7,0,0,999.0
25,6,989.0,250,1,7,0,0,999.0
25,7,990.0,250,1,7,0,0,999.0
25,2,999.0,250,1,7,0,0,999.0
25,10,999.0,250,1,7,0,0,999.0
26,11,0.0,250,7,10,0,0,301.0
26,6,79.0,250,7,10,0,0,301.0
26,4,84.0,-1039950,7,10,0,0,301.0
26,5,91.0,-1039950,7,10,0,0,301.0
26,5,105.0,-1039950,7,10,0,0,301.0
26,1,117.0,-1039950,7,10,0,0,301.0
26,1,150.0,-1039950,7,10,0,0,301.0
26,1,155.0,-1039950,7,10,0,0,301.0
26,4,167.0,450,7,10,0,0,301.0
26,5,168.0,450,7,10,0,0,301.0
26,5,177.0,450,7,10,0,0,301.0
26,1,183.0,450,7,10,0,0,301.0
26,4,186.0,50,7,10,0,0,301.0
26,5,188.0,50,7,10,0,0,301.0
26,4,189.0,-18650,7,10,0,0,301.0
26,5,191.0,-18650,7,10,0,0,301.0
26,4,192.0,-59850,7,10,0,0,301.0
26,5,194.0,-59850,7,10,0,0,301.0
26,4,194.0,-79650,7,10,0,0,301.0
26,5,201.0,-79650,7,10,0,0,301.0
26,4,202.0,-990100,7,10,0,0,301.0
26,5,204.0,-990100,7,10,0,0,301.0
26,8,205.0,-990100,7,10,0,0,301.0
26,4,205.0,-1022600,7,10,0,0,301.0
26,5,210.0,-1022600,7,10,0,0,301.0
26,7,212.0,-1022600,7,10,0,0,301.0
26,15,254.00000000000003,-1022600,7,10,0,0,301.0
26,9,254.00000000000003,-1022600,7,10,0,0,301.0
26,2,301.0,-1022600,7,10,0,0,301.0
26,10,301.0,-1022600,7,10,0,0,301.0
27,11,0.0,-1022600,10,7,0,0,229.00000000000003
27,6,2.0,-1022600,10,7,0,0,229.00000000000003
27,4,11.0,-1864050,10,7,0,0,229.00000000000003
27,5,22.0,-1864050,10,7,0,0,229.00000000000003
